[Q14341, instrument, Q128309]
[Q4757612, religion, Q42504]
[Q4118007, religion, Q9585]
[Q1672477, religion, Q5043]
[Q3423470, religion, Q9232]
[Q23393, religion, Q5043]
[Q79797, religion, Q683724]
[Q165479, religion, Q5043]
[Q83322, religion, Q9316]
[Q128019, religion, Q9592]
[Q6122670, religion, Q5043]
[Q16122481, religion, Q189570]
[Q8018, religion, Q131165]
[Q2019145, religion, Q9316]
[Q5160604, religion, Q1133485]
[Q83322, religion, Q9316]
[Q40787, religion, Q60995]
[Q45241, religion, Q132265]
[Q5945524, religion, Q1742801]
[Q182651, religion, Q9268]
[Q15848996, religion, Q9592]
[Q23393, religion, Q5043]
[Q918702, religion, Q9592]
[Q1777897, religion, Q9232]
[Q12223, religion, Q9585]
[Q5135744, religion, Q9592]
[Q7971008, religion, Q730726]
[Q83322, religion, Q9316]
[Q9200, religion, Q9268]
[Q54049, religion, Q5043]
[Q1361456, religion, Q9592]
[Q128019, religion, Q9592]
[Q450675, religion, Q9592]
[Q8018, religion, Q131165]
[Q729922, religion, Q9592]
[Q1798619, religion, Q1272775]
[Q6705748, religion, Q730726]
[Q23393, religion, Q5043]
[Q1798619, religion, Q1272775]
[Q2019145, religion, Q9316]
[Q115795, religion, Q9592]
[Q980497, religion, Q683724]
[Q128019, religion, Q9592]
[Q586084, religion, Q131036]
[Q192173, religion, Q3333484]
[Q40477, religion, Q5043]
[Q40477, religion, Q5043]
[Q2475371, religion, Q2136834]
[Q35811, religion, Q9601]
[Q40787, religion, Q60995]
[Q5149859, religion, Q1149100]
[Q9422, religion, Q9232]
[Q40477, religion, Q5043]
[Q2059087, religion, Q9592]
[Q1352322, religion, Q9592]
[Q79797, religion, Q683724]
[Q212912, religion, Q80970]
[Q162691, religion, Q9592]
[Q581898, religion, Q9592]
[Q9429, religion, Q9232]
[Q219252, religion, Q5043]
[Q64883, religion, Q205644]
[Q11378, religion, Q234953]
[Q3233636, religion, Q9592]
[Q456543, religion, Q1370167]
[Q1744, religion, Q9592]
[Q192173, religion, Q3333484]
[Q188541, religion, Q9232]
[Q337986, religion, Q9316]
[Q179248, religion, Q1841]
[Q316343, religion, Q748]
[Q28428, religion, Q748]
[Q5071432, religion, Q9232]
[Q23393, religion, Q5043]
[Q43734, religion, Q9592]
[Q23393, religion, Q5043]
[Q4757612, religion, Q42504]
[Q45241, religion, Q132265]
[Q23393, religion, Q5043]
[Q162691, religion, Q9592]
[Q1400271, religion, Q9232]
[Q450675, religion, Q9592]
[Q16970, religion, Q5043]
[Q1510251, religion, Q9592]
[Q165479, religion, Q5043]
[Q551836, religion, Q9592]
[Q368201, religion, Q9592]
[Q9200, religion, Q5043]
[Q23393, religion, Q5043]
[Q43734, religion, Q9592]
[Q117876, religion, Q1272775]
[Q1251297, religion, Q9592]
[Q23393, religion, Q5043]
[Q43739, religion, Q9592]
[Q5135744, religion, Q9592]
[Q16970, religion, Q5043]
[Q165479, religion, Q5043]
[Q3105129, religion, Q9592]
[Q43720, religion, Q9592]
[Q337986, religion, Q9316]
[Q40746, religion, Q101849]
[Q16970, religion, Q5043]
[Q128019, religion, Q9592]
[Q9429, religion, Q9232]
[Q8018, religion, Q5043]
[Q219252, religion, Q5043]
[Q40746, religion, Q101849]
[Q3233636, religion, Q9592]
[Q193163, religion, Q9268]
[Q16988843, headquarters location, Q62]
[Q1399767, headquarters location, Q2795]
[Q3488631, headquarters location, Q19660]
[Q1562664, headquarters location, Q649]
[Q5327596, headquarters location, Q60]
[Q1170074, headquarters location, Q25287]
[Q1581154, headquarters location, Q19689]
[Q7854857, headquarters location, Q84]
[Q1518474, headquarters location, Q586]
[Q1153087, headquarters location, Q61]
[Q5719536, headquarters location, Q24639]
[Q13882231, headquarters location, Q84]
[Q908265, headquarters location, Q3141]
[Q5647768, headquarters location, Q49227]
[Q5443673, headquarters location, Q1425428]
[Q5459092, headquarters location, Q26]
[Q1562664, headquarters location, Q649]
[Q6956151, headquarters location, Q37100]
[Q27346297, headquarters location, Q649]
[Q1581154, headquarters location, Q19689]
[Q1140507, headquarters location, Q1748]
[Q1524749, headquarters location, Q33935]
[Q504564, headquarters location, Q1960]
[Q1046224, headquarters location, Q35493]
[Q11310287, headquarters location, Q84]
[Q5443673, headquarters location, Q1425428]
[Q5647768, headquarters location, Q49227]
[Q1399767, headquarters location, Q2795]
[Q7292029, headquarters location, Q203889]
[Q11310287, headquarters location, Q84]
[Q4961255, headquarters location, Q128069]
[Q908265, headquarters location, Q3141]
[Q3488631, headquarters location, Q19660]
[Q18347946, headquarters location, Q331556]
[Q7849186, headquarters location, Q216430]
[Q12063654, headquarters location, Q12439]
[Q16155295, headquarters location, Q62]
[Q15276678, headquarters location, Q1085]
[Q7570934, headquarters location, Q172]
[Q2420769, headquarters location, Q1022]
[Q276538, headquarters location, Q6602]
[Q15906602, headquarters location, Q84]
[Q5443673, headquarters location, Q1425428]
[Q1235460, headquarters location, Q39450]
[Q918757, headquarters location, Q350]
[Q5116282, headquarters location, Q8684]
[Q1043220, headquarters location, Q61]
[Q5647768, headquarters location, Q49227]
[Q1250754, headquarters location, Q492380]
[Q5443673, headquarters location, Q1425428]
[Q5116282, headquarters location, Q8684]
[Q4928760, headquarters location, Q16553]
[Q5647768, headquarters location, Q49227]
[Q3488631, headquarters location, Q19660]
[Q1250754, headquarters location, Q492380]
[Q1524749, headquarters location, Q33935]
[Q1153087, headquarters location, Q61]
[Q4878454, headquarters location, Q84]
[Q5665728, headquarters location, Q24826]
[Q7993153, headquarters location, Q37100]
[Q547341, headquarters location, Q3130]
[Q7558416, headquarters location, Q16553]
[Q4711835, headquarters location, Q36312]
[Q15906602, headquarters location, Q84]
[Q5443673, headquarters location, Q1425428]
[Q5493652, headquarters location, Q1012507]
[Q5647768, headquarters location, Q49227]
[Q1235460, headquarters location, Q39450]
[Q1022955, headquarters location, Q172]
[Q391789, headquarters location, Q25287]
[Q5493652, headquarters location, Q1012507]
[Q7564975, headquarters location, Q172]
[Q11310287, headquarters location, Q84]
[Q4914896, headquarters location, Q1757]
[Q5123283, headquarters location, Q84]
[Q641514, headquarters location, Q64044]
[Q5443673, headquarters location, Q1425428]
[Q4669507, headquarters location, Q16556]
[Q2420769, headquarters location, Q1022]
[Q5647768, headquarters location, Q49227]
[Q3488631, headquarters location, Q19660]
[Q3488631, headquarters location, Q19660]
[Q8052524, headquarters location, Q36312]
[Q1140507, headquarters location, Q1748]
[Q1399767, headquarters location, Q2795]
[Q5443673, headquarters location, Q1425428]
[Q16977035, headquarters location, Q62]
[Q4981940, headquarters location, Q768086]
[Q641514, headquarters location, Q64044]
[Q5123283, headquarters location, Q84]
[Q5443673, headquarters location, Q1425428]
[Q504564, headquarters location, Q1960]
[Q2904556, headquarters location, Q41621]
[Q5443673, headquarters location, Q1425428]
[Q1365123, headquarters location, Q1375761]
[Q17039356, headquarters location, Q3141]
[Q12324243, headquarters location, Q3646715]
[Q3050292, headquarters location, Q657461]
[Q641514, headquarters location, Q64044]
[Q7558416, headquarters location, Q16553]
[Q1022955, headquarters location, Q172]
[Q28449065, headquarters location, Q8660]
[Q1524749, headquarters location, Q33935]
[Q1109274, headquarters location, Q270]
[Q4711835, headquarters location, Q36312]
[Q7993153, headquarters location, Q37100]
[Q4961255, headquarters location, Q128069]
[Q16977035, headquarters location, Q62]
[Q4878454, headquarters location, Q84]
[Q3488631, headquarters location, Q19660]
[Q276538, headquarters location, Q6602]
[Q7812900, headquarters location, Q84]
[Q504564, headquarters location, Q1960]
[Q5647768, headquarters location, Q49227]
[Q1153087, headquarters location, Q61]
[Q1235460, headquarters location, Q39450]
[Q3488631, headquarters location, Q19660]
[Q28401514, headquarters location, Q84]
[Q908265, headquarters location, Q3141]
[Q504564, headquarters location, Q1960]
[Q2496161, headquarters location, Q3711]
[Q5647768, headquarters location, Q49227]
[Q5116282, headquarters location, Q8684]
[Q1399767, headquarters location, Q2795]
[Q641514, headquarters location, Q64044]
[Q6956151, headquarters location, Q37100]
[Q5116282, headquarters location, Q8684]
[Q13548661, headquarters location, Q108988]
[Q641514, headquarters location, Q64044]
[Q28173415, headquarters location, Q1355]
[Q504564, headquarters location, Q1960]
[Q47519860, headquarters location, Q59473]
[Q18209069, headquarters location, Q1865]
[Q17082050, headquarters location, Q60]
[Q1157621, headquarters location, Q1022]
[Q1157621, headquarters location, Q1022]
[Q7558416, headquarters location, Q16553]
[Q28173415, headquarters location, Q1355]
[Q11310287, headquarters location, Q84]
[Q365515, headquarters location, Q64156]
[Q1043220, headquarters location, Q61]
[Q1762250, headquarters location, Q98967]
[Q1365123, headquarters location, Q1375761]
[Q47519860, headquarters location, Q59473]
[Q5647768, headquarters location, Q49227]
[Q2404292, headquarters location, Q100]
[Q6956151, headquarters location, Q37100]
[Q1250754, headquarters location, Q492380]
[Q11019081, headquarters location, Q4740977]
[Q1235460, headquarters location, Q39450]
[Q845943, headquarters location, Q83273]
[Q5647768, headquarters location, Q49227]
[Q4813091, headquarters location, Q8717]
[Q1561136, headquarters location, Q649]
[Q2905035, headquarters location, Q1736959]
[Q541010, headquarters location, Q60]
[Q504564, headquarters location, Q1960]
[Q5029772, headquarters location, Q172]
[Q4741169, place served by transport hub, Q456731]
[Q1262128, place served by transport hub, Q129259]
[Q2672666, place served by transport hub, Q47916]
[Q385356, place served by transport hub, Q48403]
[Q598231, place served by transport hub, Q174461]
[Q2666312, place served by transport hub, Q853258]
[Q811239, place served by transport hub, Q37806]
[Q573547, place served by transport hub, Q28729]
[Q860559, place served by transport hub, Q1489]
[Q1139661, place served by transport hub, Q131243]
[Q260986, place served by transport hub, Q6811747]
[Q2900847, place served by transport hub, Q5087]
[Q513684, place served by transport hub, Q3616]
[Q1411192, place served by transport hub, Q1960]
[Q3334432, place served by transport hub, Q639421]
[Q1433058, place served by transport hub, Q185157]
[Q174194, place served by transport hub, Q34932]
[Q1595087, place served by transport hub, Q372773]
[Q963169, place served by transport hub, Q27860]
[Q780450, place served by transport hub, Q10103]
[Q3913389, place served by transport hub, Q1361]
[Q2900847, place served by transport hub, Q5087]
[Q7399709, place served by transport hub, Q200123]
[Q736627, place served by transport hub, Q340]
[Q242066, place served by transport hub, Q172]
[Q963169, place served by transport hub, Q27860]
[Q1657769, place served by transport hub, Q1361]
[Q49249, place served by transport hub, Q3724]
[Q573547, place served by transport hub, Q28729]
[Q1431631, place served by transport hub, Q11462]
[Q7399709, place served by transport hub, Q200123]
[Q4252932, place served by transport hub, Q109374]
[Q1360523, place served by transport hub, Q41211]
[Q8691, place served by transport hub, Q84]
[Q5330354, place served by transport hub, Q944507]
[Q1319272, place served by transport hub, Q3141]
[Q3595649, place served by transport hub, Q2980652]
[Q525609, place served by transport hub, Q376749]
[Q2875716, place served by transport hub, Q5083]
[Q8691, place served by transport hub, Q84]
[Q3334432, place served by transport hub, Q639421]
[Q1141511, place served by transport hub, Q131281]
[Q3499338, place served by transport hub, Q49246]
[Q30603, place served by transport hub, Q1354]
[Q1141511, place served by transport hub, Q131281]
[Q1177897, place served by transport hub, Q18575]
[Q6744481, place served by transport hub, Q4915121]
[Q1319272, place served by transport hub, Q3141]
[Q860559, place served by transport hub, Q1489]
[Q547627, place served by transport hub, Q276266]
[Q166276, place served by transport hub, Q2807]
[Q671475, place served by transport hub, Q100]
[Q1931305, place served by transport hub, Q207752]
[Q1347672, place served by transport hub, Q43199]
[Q999047, place served by transport hub, Q1486]
[Q780450, place served by transport hub, Q10103]
[Q2262149, place served by transport hub, Q34370]
[Q1177897, place served by transport hub, Q18575]
[Q1810907, place served by transport hub, Q1770]
[Q14295, place served by transport hub, Q5083]
[Q2901764, place served by transport hub, Q1005953]
[Q679227, place served by transport hub, Q649]
[Q3595649, place served by transport hub, Q2980652]
[Q1432206, place served by transport hub, Q34692]
[Q2661286, place served by transport hub, Q83189]
[Q153592, place served by transport hub, Q374365]
[Q14295, place served by transport hub, Q5083]
[Q260986, place served by transport hub, Q6811747]
[Q332302, place served by transport hub, Q3881]
[Q504368, place served by transport hub, Q1156]
[Q1320543, place served by transport hub, Q868869]
[Q674812, place served by transport hub, Q1156]
[Q2672666, place served by transport hub, Q47916]
[Q1422154, place served by transport hub, Q43509]
[Q385356, place served by transport hub, Q48403]
[Q32997, place served by transport hub, Q9361]
[Q765608, place served by transport hub, Q1555]
[Q30603, place served by transport hub, Q1354]
[Q2673008, place served by transport hub, Q199605]
[Q1360523, place served by transport hub, Q41211]
[Q513684, place served by transport hub, Q3616]
[Q1810907, place served by transport hub, Q1770]
[Q385356, place served by transport hub, Q48403]
[Q1433058, place served by transport hub, Q185157]
[Q1420178, place served by transport hub, Q3306]
[Q59733, place served by transport hub, Q34820]
[Q385406, place served by transport hub, Q174]
[Q3566301, place served by transport hub, Q487201]
[Q794549, place served by transport hub, Q2145]
[Q3277758, place served by transport hub, Q485708]
[Q2134812, place served by transport hub, Q855314]
[Q837745, place served by transport hub, Q23430]
[Q7399709, place served by transport hub, Q200123]
[Q385356, place served by transport hub, Q48403]
[Q597396, place served by transport hub, Q490584]
[Q8691, place served by transport hub, Q84]
[Q3015060, place served by transport hub, Q850823]
[Q6744481, place served by transport hub, Q4915121]
[Q1708583, place served by transport hub, Q864106]
[Q1141511, place served by transport hub, Q131281]
[Q671475, place served by transport hub, Q100]
[Q1062676, place served by transport hub, Q34820]
[Q837745, place served by transport hub, Q23430]
[Q667326, place served by transport hub, Q3935]
[Q20932, place served by transport hub, Q8684]
[Q1262128, place served by transport hub, Q129259]
[Q1141511, place served by transport hub, Q131281]
[Q2493876, place served by transport hub, Q867573]
[Q3334432, place served by transport hub, Q639421]
[Q503364, place served by transport hub, Q1355]
[Q1360523, place served by transport hub, Q41211]
[Q260986, place served by transport hub, Q6811747]
[Q3631773, place served by transport hub, Q2088889]
[Q707731, place served by transport hub, Q2044]
[Q385356, place served by transport hub, Q48403]
[Q1466205, place served by transport hub, Q162612]
[Q3887829, place served by transport hub, Q5118270]
[Q162139, place served by transport hub, Q466221]
[Q547627, place served by transport hub, Q276266]
[Q3566301, place served by transport hub, Q487201]
[Q15303164, place served by transport hub, Q994312]
[Q765608, place served by transport hub, Q1555]
[Q8703, place served by transport hub, Q84]
[Q1420178, place served by transport hub, Q3306]
[Q2673008, place served by transport hub, Q199605]
[Q736627, place served by transport hub, Q340]
[Q385356, place served by transport hub, Q48403]
[Q2672666, place served by transport hub, Q47916]
[Q242066, place served by transport hub, Q172]
[Q1141511, place served by transport hub, Q131281]
[Q401700, place served by transport hub, Q1070]
[Q61066, place served by transport hub, Q3037]
[Q765608, place served by transport hub, Q1555]
[Q61052, place served by transport hub, Q8660]
[Q4741169, place served by transport hub, Q456731]
[Q999047, place served by transport hub, Q1486]
[Q1432702, place served by transport hub, Q40269]
[Q7060183, place served by transport hub, Q969223]
[Q278667, place served by transport hub, Q1361]
[Q166276, place served by transport hub, Q2807]
[Q651495, place served by transport hub, Q185582]
[Q707731, place served by transport hub, Q2044]
[Q671475, place served by transport hub, Q100]
[Q8703, place served by transport hub, Q84]
[Q14295, place served by transport hub, Q5083]
[Q667326, place served by transport hub, Q3935]
[Q3631773, place served by transport hub, Q2088889]
[Q1431914, place served by transport hub, Q84]
[Q525609, place served by transport hub, Q376749]
[Q598259, place served by transport hub, Q49241]
[Q1192811, place served by transport hub, Q1473]
[Q780450, place served by transport hub, Q10103]
[Q2748390, place served by transport hub, Q3870]
[Q192733, place served by transport hub, Q649]
[Q385406, place served by transport hub, Q174]
[Q1431170, place served by transport hub, Q5582862]
[Q1360523, place served by transport hub, Q41211]
[Q7399709, place served by transport hub, Q200123]
[Q2672666, place served by transport hub, Q47916]
[Q905933, place served by transport hub, Q3674]
[Q650346, place served by transport hub, Q39450]
[Q12695425, place served by transport hub, Q759348]
[Q3334432, place served by transport hub, Q639421]
[Q2895532, place served by transport hub, Q1052012]
[Q388535, place served by transport hub, Q1348]
[Q1431170, place served by transport hub, Q5582862]
[Q1319272, place served by transport hub, Q3141]
[Q7277289, place served by transport hub, Q883831]
[Q674812, place served by transport hub, Q1156]
[Q260986, place served by transport hub, Q6811747]
[Q385356, place served by transport hub, Q48403]
[Q382546, place served by transport hub, Q79808]
[Q30603, place served by transport hub, Q1354]
[Q61052, place served by transport hub, Q8660]
[Q482315, place served by transport hub, Q498968]
[Q23013242, publisher, Q2030718]
[Q2271428, publisher, Q73801]
[Q5625187, publisher, Q680946]
[Q3772551, publisher, Q200491]
[Q3958950, publisher, Q1457205]
[Q3604813, publisher, Q1615297]
[Q7359530, publisher, Q174561]
[Q23253765, publisher, Q429316]
[Q3282847, publisher, Q339228]
[Q5215340, publisher, Q18594]
[Q5215340, publisher, Q18594]
[Q3574023, publisher, Q1891982]
[Q762195, publisher, Q1065024]
[Q1960276, publisher, Q312242]
[Q1065861, publisher, Q339228]
[Q1593353, publisher, Q684425]
[Q19865804, publisher, Q746413]
[Q842259, publisher, Q869106]
[Q507131, publisher, Q2664679]
[Q507131, publisher, Q2664679]
[Q1463003, publisher, Q6867]
[Q7403430, publisher, Q2880453]
[Q522508, publisher, Q8093]
[Q3604813, publisher, Q1615297]
[Q15759585, publisher, Q3041095]
[Q3772551, publisher, Q200491]
[Q1923405, publisher, Q535381]
[Q5203278, publisher, Q7138711]
[Q475782, publisher, Q780528]
[Q1234182, publisher, Q273819]
[Q1593353, publisher, Q684425]
[Q762195, publisher, Q1065024]
[Q5203278, publisher, Q7138711]
[Q2271428, publisher, Q73801]
[Q11332095, publisher, Q1194689]
[Q1692598, publisher, Q2934754]
[Q16184632, publisher, Q489247]
[Q16874420, publisher, Q286970]
[Q28603919, publisher, Q1576915]
[Q3150580, publisher, Q247556]
[Q3054104, publisher, Q905549]
[Q4353573, publisher, Q673540]
[Q5264281, publisher, Q73820]
[Q23899, publisher, Q23901]
[Q6305445, publisher, Q1053610]
[Q1003168, publisher, Q247556]
[Q3284225, publisher, Q8093]
[Q2396164, publisher, Q2924461]
[Q7857039, publisher, Q507269]
[Q386632, publisher, Q679933]
[Q2396164, publisher, Q2924461]
[Q11332095, publisher, Q1194689]
[Q3176904, publisher, Q1408498]
[Q1463003, publisher, Q6867]
[Q467800, publisher, Q49768]
[Q475782, publisher, Q780528]
[Q3772551, publisher, Q200491]
[Q16184632, publisher, Q489247]
[Q15759585, publisher, Q3041095]
[Q5264281, publisher, Q73820]
[Q6941144, publisher, Q16931672]
[Q11332095, publisher, Q1194689]
[Q5499888, publisher, Q648015]
[Q1154104, publisher, Q200491]
[Q19865804, publisher, Q746413]
[Q3054104, publisher, Q905549]
[Q2256724, publisher, Q245772]
[Q1923405, publisher, Q535381]
[Q1234182, publisher, Q273819]
[Q386632, publisher, Q679933]
[Q1234182, publisher, Q273819]
[Q23013242, publisher, Q2030718]
[Q1144851, publisher, Q5058164]
[Q8036430, publisher, Q930354]
[Q3547313, publisher, Q7865507]
[Q1799197, publisher, Q504998]
[Q7102566, publisher, Q4822671]
[Q23899, publisher, Q23901]
[Q762195, publisher, Q1065024]
[Q5323356, publisher, Q180419]
[Q11311339, publisher, Q1172213]
[Q1921686, publisher, Q1062171]
[Q1463003, publisher, Q6867]
[Q5126202, publisher, Q6459942]
[Q5273971, publisher, Q723551]
[Q81079, publisher, Q726081]
[Q1234182, publisher, Q273819]
[Q507131, publisher, Q2664679]
[Q1962302, publisher, Q2920594]
[Q1234182, publisher, Q273819]
[Q19865804, publisher, Q746413]
[Q1747150, publisher, Q73801]
[Q475782, publisher, Q780528]
[Q7403430, publisher, Q2880453]
[Q1003168, publisher, Q247556]
[Q5468067, publisher, Q5468082]
[Q11313863, publisher, Q2298387]
[Q1921686, publisher, Q1062171]
[Q16273449, publisher, Q1984338]
[Q1747150, publisher, Q73801]
[Q1154104, publisher, Q200491]
[Q7857039, publisher, Q507269]
[Q23253765, publisher, Q429316]
[Q522508, publisher, Q8093]
[Q164883, publisher, Q315736]
[Q762195, publisher, Q1065024]
[Q6199858, publisher, Q188273]
[Q23013242, publisher, Q2030718]
[Q762195, publisher, Q1065024]
[Q3054104, publisher, Q905549]
[Q467800, publisher, Q49768]
[Q522508, publisher, Q8093]
[Q16259239, publisher, Q207922]
[Q4579783, publisher, Q2588602]
[Q1815813, publisher, Q6030105]
[Q1234182, publisher, Q273819]
[Q287330, publisher, Q7959294]
[Q3054104, publisher, Q905549]
[Q23899, publisher, Q23901]
[Q1144851, publisher, Q5058164]
[Q16184632, publisher, Q489247]
[Q762195, publisher, Q1065024]
[Q5126202, publisher, Q6459942]
[Q522508, publisher, Q8093]
[Q3547313, publisher, Q7865507]
[Q19866549, publisher, Q1361716]
[Q11311339, publisher, Q1172213]
[Q19865804, publisher, Q746413]
[Q3176904, publisher, Q1408498]
[Q3547313, publisher, Q7865507]
[Q762195, publisher, Q1065024]
[Q1234182, publisher, Q273819]
[Q721648, publisher, Q14270642]
[Q1799197, publisher, Q504998]
[Q2271428, publisher, Q73801]
[Q6972873, publisher, Q7543950]
[Q5264281, publisher, Q73820]
[Q5464, publisher, Q1386529]
[Q4943246, publisher, Q465584]
[Q5203278, publisher, Q7138711]
[Q1234182, publisher, Q273819]
[Q3054104, publisher, Q905549]
[Q1463003, publisher, Q6867]
[Q7232584, publisher, Q1376788]
[Q7186167, publisher, Q1587900]
[Q5625187, publisher, Q680946]
[Q3772551, publisher, Q200491]
[Q507131, publisher, Q2664679]
[Q3574023, publisher, Q1891982]
[Q457957, publisher, Q1347787]
[Q19866549, publisher, Q1361716]
[Q7857039, publisher, Q507269]
[Q19866549, publisher, Q1361716]
[Q842259, publisher, Q869106]
[Q1463003, publisher, Q6867]
[Q1234182, publisher, Q273819]
[Q1234182, publisher, Q273819]
[Q1154104, publisher, Q200491]
[Q5264281, publisher, Q73820]
[Q5464, publisher, Q1386529]
[Q1234182, publisher, Q273819]
[Q1747150, publisher, Q73801]
[Q16184632, publisher, Q489247]
[Q16184632, publisher, Q489247]
[Q746351, publisher, Q173941]
[Q16273449, publisher, Q1984338]
[Q1234182, publisher, Q273819]
[Q11311339, publisher, Q1172213]
[Q1921686, publisher, Q1062171]
[Q1003168, publisher, Q247556]
[Q19865804, publisher, Q746413]
[Q1463003, publisher, Q6867]
[Q11311339, publisher, Q1172213]
[Q5323356, publisher, Q180419]
[Q11313863, publisher, Q2298387]
[Q1154104, publisher, Q200491]
[Q386632, publisher, Q679933]
[Q5264281, publisher, Q73820]
[Q1463003, publisher, Q6867]
[Q23013242, publisher, Q2030718]
[Q3547313, publisher, Q7865507]
[Q15759585, publisher, Q3041095]
[Q28603919, publisher, Q1576915]
[Q5203278, publisher, Q7138711]
[Q3054104, publisher, Q905549]
[Q15716628, publisher, Q1076074]
[Q631830, publisher, Q199296]
[Q1571368, publisher, Q1135166]
[Q1747150, publisher, Q73801]
[Q762195, publisher, Q1065024]
[Q1960276, publisher, Q312242]
[Q6972873, publisher, Q7543950]
[Q8036430, publisher, Q930354]
[Q4047343, publisher, Q684425]
[Q1921686, publisher, Q1062171]
[Q631830, publisher, Q199296]
[Q1463003, publisher, Q6867]
[Q746351, publisher, Q173941]
[Q4652617, publisher, Q684425]
[Q1234182, publisher, Q273819]
[Q1747150, publisher, Q73801]
[Q2256724, publisher, Q245772]
[Q1065861, publisher, Q339228]
[Q3176904, publisher, Q1408498]
[Q4579783, publisher, Q2588602]
[Q16863293, father, Q2519789]
[Q3185529, father, Q2977938]
[Q15795979, father, Q132286]
[Q3780158, father, Q4064406]
[Q15795979, father, Q132286]
[Q15795979, father, Q132286]
[Q5298277, father, Q7788653]
[Q4764162, father, Q4719465]
[Q15795979, father, Q132286]
[Q257579, father, Q505040]
[Q257579, father, Q505040]
[Q11091072, father, Q204077]
[Q271282, father, Q212732]
[Q4764162, father, Q4719465]
[Q257579, father, Q505040]
[Q2165643, father, Q156178]
[Q3780158, father, Q4064406]
[Q5298277, father, Q7788653]
